data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2019,17031630200,"Census Tract 6302, Cook County, Illinois",37422.0,16850.0,11.7,23.9,29.299999999999997,7.2,575.0,3.17,604.0,575.0,4.8,48.9,51.1,5.7
2019,17031580700,"Census Tract 5807, Cook County, Illinois",47000.0,16718.0,13.1,20.6,37.8,13.0,1544.0,3.83,1802.0,1544.0,14.3,61.0,39.0,9.8
2019,17031590600,"Census Tract 5906, Cook County, Illinois",46033.0,21015.0,8.1,11.8,24.400000000000006,19.7,1172.0,2.92,1301.0,1172.0,9.9,54.9,45.1,4.7
2019,17031600700,"Census Tract 6007, Cook County, Illinois",45294.0,29155.0,11.8,15.2,16.400000000000006,25.6,1084.0,2.62,1174.0,1084.0,7.7,50.1,49.9,3.3
2019,17031611900,"Census Tract 6119, Cook County, Illinois",24507.0,13196.0,21.1,46.7,26.5,3.1,574.0,2.86,746.0,574.0,23.1,34.5,65.5,2.8
2019,17031804505,"Census Tract 8045.05, Cook County, Illinois",71438.0,39153.0,0.6,11.8,7.799999999999997,34.2,1517.0,2.27,1626.0,1517.0,6.7,68.2,31.8,2.5
2019,17031804701,"Census Tract 8047.01, Cook County, Illinois",69472.0,32386.0,5.0,7.4,5.400000000000006,48.7,2461.0,2.4,2582.0,2461.0,4.7,55.5,44.5,4.1
2019,17031804706,"Census Tract 8047.06, Cook County, Illinois",115500.0,41681.0,1.8,0.8,4.700000000000003,50.7,760.0,3.21,760.0,760.0,0.0,93.9,6.1,1.1
2019,17031824005,"Census Tract 8240.05, Cook County, Illinois",112125.0,49315.0,2.2,3.4,5.900000000000006,42.2,2027.0,2.84,2102.0,2027.0,3.6,84.9,15.1,0.5
2019,17031824006,"Census Tract 8240.06, Cook County, Illinois",129667.0,45960.0,3.0,6.0,5.200000000000003,43.1,1528.0,3.09,1559.0,1528.0,2.0,93.6,6.4,0.7
2019,17031824113,"Census Tract 8241.13, Cook County, Illinois",97365.0,39020.0,5.0,8.7,10.799999999999997,43.9,2347.0,3.01,2393.0,2347.0,1.9,95.9,4.1,0.7
2019,17031824114,"Census Tract 8241.14, Cook County, Illinois",108933.0,53049.0,3.3,2.8,1.0,52.9,1897.0,2.73,1972.0,1897.0,3.8,91.5,8.5,1.8
2019,17031824115,"Census Tract 8241.15, Cook County, Illinois",74318.0,29396.0,1.9,8.1,8.599999999999994,27.6,1400.0,2.75,1530.0,1400.0,8.5,76.7,23.3,1.7
2019,17031824116,"Census Tract 8241.16, Cook County, Illinois",68125.0,36029.0,4.5,10.8,8.799999999999997,41.1,2202.0,2.44,2347.0,2202.0,6.2,52.7,47.3,2.9
2019,17031824117,"Census Tract 8241.17, Cook County, Illinois",102696.0,42180.0,4.6,1.6,3.4000000000000057,50.4,3379.0,2.8,3431.0,3379.0,1.5,97.8,2.2,0.0
2019,17031824119,"Census Tract 8241.19, Cook County, Illinois",106607.0,45979.0,4.2,2.3,7.900000000000006,47.6,2091.0,2.7,2091.0,2091.0,0.0,97.5,2.5,0.0
2019,17031824120,"Census Tract 8241.20, Cook County, Illinois",100911.0,55699.0,4.5,6.8,4.5,47.5,3409.0,2.59,3515.0,3409.0,3.0,94.7,5.3,1.6
2019,17031824121,"Census Tract 8241.21, Cook County, Illinois",81570.0,35869.0,6.9,6.6,5.799999999999997,35.9,1212.0,2.6,1233.0,1212.0,1.7,95.4,4.6,0.0
2019,17031824122,"Census Tract 8241.22, Cook County, Illinois",92476.0,38716.0,3.2,7.1,3.700000000000003,43.3,2343.0,2.79,2377.0,2343.0,1.4,94.1,5.9,2.2
2019,17031824123,"Census Tract 8241.23, Cook County, Illinois",71671.0,33781.0,4.5,13.1,4.0,27.9,2801.0,2.62,2922.0,2801.0,4.1,85.2,14.8,0.0
2019,17031825303,"Census Tract 8253.03, Cook County, Illinois",66684.0,35316.0,7.3,7.8,9.799999999999997,27.3,1539.0,2.61,1751.0,1539.0,12.1,59.8,40.2,5.3
