data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2022,17031010100,Census Tract 101; Cook County; Illinois,68196.0,44342.0,9.8,19.5,11.299999999999997,52.9,2322.0,1.78,2942.0,2322.0,21.1,34.3,65.7,2.0
2022,17031010201,Census Tract 102.01; Cook County; Illinois,61071.0,27411.0,4.1,33.6,18.200000000000003,33.9,3028.0,2.66,3280.0,3028.0,7.7,27.3,72.7,15.3
2022,17031010202,Census Tract 102.02; Cook County; Illinois,58698.0,32428.0,8.9,23.8,13.299999999999997,46.2,1223.0,2.12,1318.0,1223.0,7.2,23.7,76.3,10.7
2022,17031010300,Census Tract 103; Cook County; Illinois,68336.0,42831.0,4.0,6.5,10.0,51.7,3047.0,1.74,3320.0,3047.0,8.2,36.7,63.3,6.8999999999999995
2022,17031010400,Census Tract 104; Cook County; Illinois,48630.0,30613.0,3.2,18.6,0.5999999999999943,60.4,2058.0,1.46,2397.0,2058.0,14.1,28.7,71.3,0.0
2022,17031010501,Census Tract 105.01; Cook County; Illinois,47858.0,41810.0,7.5,10.8,0.29999999999999716,65.3,2417.0,1.61,2669.0,2417.0,9.4,15.7,84.3,0.6
2022,17031010502,Census Tract 105.02; Cook County; Illinois,55813.0,36312.0,4.5,26.9,3.0999999999999943,67.0,1582.0,2.09,1831.0,1582.0,13.6,25.7,74.3,9.5
2022,17031010503,Census Tract 105.03; Cook County; Illinois,18750.0,22772.0,3.9,51.9,15.099999999999994,39.1,1315.0,1.83,1459.0,1315.0,9.9,14.5,85.5,2.8
2022,17031010600,Census Tract 106; Cook County; Illinois,66313.0,42032.0,2.5,14.7,5.5,66.1,2943.0,2.11,3173.0,2943.0,7.2,38.0,62.0,2.9
2022,17031010701,Census Tract 107.01; Cook County; Illinois,70542.0,52027.0,3.3,7.5,15.099999999999994,47.5,1603.0,2.24,1749.0,1603.0,8.3,52.7,47.3,8.6
2022,17031010702,Census Tract 107.02; Cook County; Illinois,52193.0,27028.0,9.5,19.7,23.799999999999997,38.0,1915.0,2.66,2138.0,1915.0,10.4,21.3,78.7,11.6
2022,17031020100,Census Tract 201; Cook County; Illinois,57029.0,34406.0,9.4,18.7,12.799999999999997,36.2,1679.0,2.3,1717.0,1679.0,2.2,34.5,65.5,5.2
2022,17031020200,Census Tract 202; Cook County; Illinois,117005.0,39749.0,4.6,6.9,15.799999999999997,52.3,1989.0,3.57,2178.0,1989.0,8.7,77.2,22.8,4.9
2022,17031020301,Census Tract 203.01; Cook County; Illinois,73539.0,36646.0,8.5,11.2,4.799999999999997,54.3,2215.0,2.45,2247.0,2215.0,1.4,70.6,29.4,1.1
2022,17031020302,Census Tract 203.02; Cook County; Illinois,84205.0,48044.0,10.5,6.2,4.5,52.2,1736.0,2.79,1829.0,1736.0,5.1,62.8,37.2,0.1
2022,17031020400,Census Tract 204; Cook County; Illinois,76607.0,46833.0,6.4,14.2,13.099999999999994,51.5,1669.0,2.53,1885.0,1669.0,11.5,46.6,53.4,4.8
2022,17031020500,Census Tract 205; Cook County; Illinois,43948.0,20325.0,7.1,31.3,19.599999999999994,26.5,2221.0,2.88,2490.0,2221.0,10.8,27.4,72.6,13.100000000000001
2022,17031020601,Census Tract 206.01; Cook County; Illinois,61046.0,34254.0,6.8,24.6,18.299999999999997,49.3,2058.0,2.84,2271.0,2058.0,9.4,53.9,46.1,4.6000000000000005
2022,17031020602,Census Tract 206.02; Cook County; Illinois,83839.0,33599.0,2.4,12.3,14.799999999999997,55.1,1602.0,3.33,1741.0,1602.0,8.0,53.4,46.6,10.0
2022,17031020701,Census Tract 207.01; Cook County; Illinois,92024.0,51376.0,8.4,8.5,10.099999999999994,61.9,764.0,2.26,811.0,764.0,5.8,69.8,30.2,0.9
2022,17031020702,Census Tract 207.02; Cook County; Illinois,68897.0,24281.0,8.4,20.2,23.0,29.4,2483.0,3.32,2569.0,2483.0,3.3,40.6,59.4,23.4
2022,17031020801,Census Tract 208.01; Cook County; Illinois,71953.0,33958.0,2.6,12.6,13.099999999999994,31.9,2175.0,2.75,2343.0,2175.0,7.2,45.3,54.7,4.1
2022,17031020802,Census Tract 208.02; Cook County; Illinois,62212.0,22114.0,10.0,18.5,27.200000000000003,34.0,2131.0,4.08,2375.0,2131.0,10.3,34.6,65.4,14.200000000000001
2022,17031020901,Census Tract 209.01; Cook County; Illinois,50243.0,26735.0,3.2,20.8,22.0,34.0,2197.0,2.8,2473.0,2197.0,11.2,36.5,63.5,7.699999999999999
2022,17031020902,Census Tract 209.02; Cook County; Illinois,49432.0,24592.0,2.7,23.5,14.599999999999994,30.3,1597.0,2.42,1774.0,1597.0,10.0,42.8,57.2,8.0
2022,17031030101,Census Tract 301.01; Cook County; Illinois,50696.0,35328.0,21.2,20.5,6.599999999999994,40.4,2047.0,1.71,2361.0,2047.0,13.3,32.3,67.7,9.4
2022,17031030102,Census Tract 301.02; Cook County; Illinois,55067.0,45757.0,7.9,26.3,15.400000000000006,53.4,1878.0,1.61,2145.0,1878.0,12.4,43.1,56.9,0.4
2022,17031030103,Census Tract 301.03; Cook County; Illinois,53684.0,37261.0,8.8,23.2,8.799999999999997,56.8,1030.0,1.47,1158.0,1030.0,11.1,28.9,71.1,7.0
