model,iteration,validation_rmse,validation_mae,validation_r2,params,feature_set
Random Forest,18,21.830618172374614,12.334323698642542,0.7947001266246414,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 500}",acs_socio_occupancy
Random Forest,12,21.949655210722792,12.361240899592604,0.7924551222256004,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,17,21.974777507496164,12.593588381675355,0.7919797627918604,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,20,22.00171364148557,12.59423217349697,0.7914694782031961,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",acs_socio_occupancy
Random Forest,14,22.03520727501448,12.49386291150587,0.7908340948627707,"{""max_depth"": 24, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 300}",acs_socio_occupancy
Random Forest,8,22.045754444188137,12.662513020786227,0.790633812093745,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 500}",acs_socio_occupancy
Random Forest,13,22.09681655119564,12.675284243679632,0.7896628260903055,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,11,22.12338387112348,12.52842667903626,0.7891567392245835,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,19,22.223315496927313,12.724387736556542,0.7872476735502977,"{""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,1,22.292163036223172,12.890276800303837,0.7859274238333948,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 300}",acs_socio_occupancy
Random Forest,16,22.297708148379648,12.922460414183284,0.785820910698622,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",acs_socio_occupancy
Random Forest,6,22.342932828918787,12.938040252251604,0.7849512245689823,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,7,22.391073577805123,13.009523526752123,0.7840235252203133,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,5,23.565152807693174,13.744910217450029,0.7607801935463863,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",acs_socio_occupancy
Random Forest,9,25.202835226146615,15.072286554002567,0.7263752270311674,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",acs_socio_occupancy
Random Forest,4,26.172297457596525,16.00337938568223,0.7049196368596463,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,2,27.24168654277064,17.180606267045253,0.6803132791473832,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,3,27.245545153907337,16.702881324477243,0.6802227095637846,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",acs_socio_occupancy
Random Forest,10,27.273692596804953,16.743462057610763,0.6795616427798497,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300}",acs_socio_occupancy
Random Forest,15,28.09283060703907,17.852700789475588,0.6600245047243317,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",acs_socio_occupancy
XGBoost,14,21.025294634595586,12.323942892052944,0.8095676201007387,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}",acs_socio_occupancy
XGBoost,11,21.039654742521,12.295122154489329,0.8093074036861364,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",acs_socio_occupancy
XGBoost,7,21.076832838235617,12.329941547399983,0.8086328820261441,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.7}",acs_socio_occupancy
XGBoost,3,21.133216784295215,12.44802277470717,0.8076076363561916,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 1.0}",acs_socio_occupancy
XGBoost,15,21.136037722764783,12.655607550109417,0.8075562704663718,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}",acs_socio_occupancy
XGBoost,24,21.277719779379346,12.265803878697623,0.8049675913780652,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",acs_socio_occupancy
XGBoost,12,21.295590550195413,12.399455922156138,0.8046398454385719,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",acs_socio_occupancy
XGBoost,5,21.397389335703007,12.599775700746903,0.8027676306145021,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 10, ""subsample"": 0.85}",acs_socio_occupancy
XGBoost,2,21.409783502559137,12.598098780695393,0.8025390757343701,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}",acs_socio_occupancy
XGBoost,22,21.432722044568624,12.543722108040289,0.8021157279549486,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",acs_socio_occupancy
XGBoost,21,21.4662805773207,12.744463934504232,0.8014955636387455,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 1.0}",acs_socio_occupancy
XGBoost,25,21.534263136757765,12.449238492449448,0.8002362669188033,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",acs_socio_occupancy
XGBoost,18,21.762761645878346,12.628114142796596,0.7959744181073799,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}",acs_socio_occupancy
XGBoost,19,21.781648554015785,12.640822461126689,0.7956201354491347,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",acs_socio_occupancy
XGBoost,9,21.82680054533602,12.718034380722663,0.7947719239335037,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}",acs_socio_occupancy
XGBoost,8,21.94521041874611,12.813694359920014,0.7925391691408215,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",acs_socio_occupancy
XGBoost,6,21.974006926591404,12.862280262308724,0.7919943516642179,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",acs_socio_occupancy
XGBoost,16,22.138451306307275,12.927260446780311,0.788869446014038,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}",acs_socio_occupancy
XGBoost,17,22.202348912282588,12.923716058839275,0.7876489264995161,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",acs_socio_occupancy
