model,iteration,validation_rmse,validation_mae,validation_r2,params,feature_set
Random Forest,18,21.459084042164726,11.910291105729616,0.8016286378982764,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 500}",all_external
Random Forest,12,21.51971103666817,11.976461704935835,0.8005061623502288,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",all_external
Random Forest,17,21.655244972314488,12.267249638603534,0.7979853729299364,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",all_external
Random Forest,20,21.73042575203367,12.29120647213618,0.7965802647710839,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",all_external
Random Forest,8,21.811828576959893,12.310473911061539,0.7950533774079892,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 500}",all_external
Random Forest,11,21.82420308089278,12.250113807179392,0.7948207667229442,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 200}",all_external
Random Forest,14,21.849088920512212,12.201524575957398,0.7943525738036135,"{""max_depth"": 24, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 300}",all_external
Random Forest,13,21.874966996737395,12.341403764160718,0.7938651474090398,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 200}",all_external
Random Forest,19,21.875870021847163,12.260386692992707,0.7938481280654165,"{""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",all_external
Random Forest,6,22.079237333586935,12.754516585523321,0.789997362256339,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",all_external
Random Forest,16,22.088810569483247,12.755824848567146,0.7898152146032554,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",all_external
Random Forest,1,22.132629134982814,12.754619174477908,0.7889804814791659,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 300}",all_external
Random Forest,7,22.211785452053945,12.828138365720903,0.787468379368846,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",all_external
