model,iteration,validation_rmse,validation_mae,validation_r2,params,feature_set
Random Forest,12,21.75067544630929,12.157992060392742,0.7962009710797289,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",base
Random Forest,18,21.75096851256124,12.188529954407183,0.7961954791105186,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 500}",base
Random Forest,17,21.91435503589486,12.467489117903552,0.7931221467544068,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",base
Random Forest,20,21.96067239667392,12.546299367674164,0.7922467240219738,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",base
Random Forest,11,21.99572294660776,12.410328147000811,0.7915830214185389,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 200}",base
Random Forest,19,22.05839051785184,12.521469862076614,0.7903937364124175,"{""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",base
Random Forest,14,22.134335415214743,12.49751649001007,0.7889479437892353,"{""max_depth"": 24, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 300}",base
Random Forest,8,22.139615225789104,12.599755368137664,0.7888472452357267,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 500}",base
Random Forest,13,22.19319862189485,12.629813589828403,0.7878239236219576,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 200}",base
Random Forest,6,22.272369805909992,12.905412349929229,0.786307405506381,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",base
Random Forest,16,22.29630244927682,12.9189230925097,0.7858479145379005,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",base
Random Forest,1,22.371561702387066,12.939393924693888,0.784399770686242,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 300}",base
Random Forest,7,22.38811162969076,12.968966808547686,0.7840806612748836,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",base
Random Forest,5,22.555925405495355,12.941182158935971,0.780831611961977,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",base
Random Forest,9,25.069784623345587,14.979931522724463,0.7292566364984097,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",base
Random Forest,4,26.71825418998059,16.416198092826104,0.6924804229369422,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",base
Random Forest,10,27.45087760486797,16.83510534482667,0.6753846286328324,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300}",base
Random Forest,3,27.49293365098079,16.910176243302878,0.6743892144235407,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",base
Random Forest,2,27.7379744655918,17.49606240532891,0.668559098022906,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",base
Random Forest,15,28.50542753902891,17.958218300674805,0.6499647897916215,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",base
XGBoost,7,21.18080575742084,12.315108843328886,0.8067401807444744,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.7}",base
XGBoost,12,21.238055500354708,12.288308656466835,0.8056940423038321,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",base
XGBoost,11,21.270484306144184,12.340566128154242,0.8051002100850161,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",base
XGBoost,5,21.31537707846422,12.293807211185005,0.8042766439578207,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 10, ""subsample"": 0.85}",base
XGBoost,18,21.469937197815383,12.44703400981291,0.8014279303839121,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}",base
XGBoost,3,21.53741997251397,12.263355733200642,0.8001776935174623,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 1.0}",base
XGBoost,15,21.558975170755435,12.53188464784545,0.7997775188617027,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}",base
XGBoost,2,21.562889872261323,12.53280194713772,0.7997047990403888,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}",base
XGBoost,14,21.576711999877,12.319067880206982,0.7994479324356591,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}",base
XGBoost,21,21.60011778197856,12.32880906502277,0.7990125904806591,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 1.0}",base
XGBoost,25,21.65712109917648,12.666738756201449,0.7979503678781243,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",base
XGBoost,24,21.703254144493098,12.5006632945526,0.7970886566137777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",base
XGBoost,8,21.76204683644924,12.684838200542876,0.7959878205437988,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",base
XGBoost,22,21.78293129722611,12.783433506284,0.7955960624683807,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",base
XGBoost,6,21.87416041918573,12.705186625933532,0.7938803484083818,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",base
XGBoost,9,21.98332112145658,12.853300244688407,0.7918179782103196,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}",base
