feature,importance
primary_property_type_clean,0.4249671
community_area_clean,0.21637319
zip_code_clean,0.17988135
prior_building_mean_eui,0.08294047
prev_year_site_eui,0.020125529
regulation_stage,0.011440895
property_year_record_count,0.009759823
prior_comm_property_mean_eui,0.008523657
prior_property_type_mean_eui,0.005278286
year_built,0.0036379837
longitude,0.0033740278
prior_community_high_eui_ratio,0.0031624676
community_year_avg_floor_area,0.0030481543
community_year_record_count,0.0030459133
building_age,0.0030214277
of_buildings,0.0029641027
community_year_building_count,0.0027867032
latitude,0.0027694642
log_floor_area,0.0027526028
gross_floor_area_buildings_sq_ft,0.0026989884
data_year,0.0026496213
years_since_2018,0.002472499
prior_community_mean_eui,0.002325757
