comparison,group,n_before,mae_before,mae_after,mae_change,mae_change_pct,rmse_before,rmse_after,rmse_change,rmse_change_pct,bias_pred_minus_actual_before,bias_pred_minus_actual_after
Base best RF -> Weather best XGBoost,All test records,2579,13.127668964934578,11.06467975736265,-2.0629892075719276,-15.714817406520492,19.44369656714959,17.874798189035726,-1.5688983781138646,-8.068930579612836,7.896495134063869,3.080664448555055
Base best RF -> Weather best XGBoost,High EUI >= 100,472,18.9466709702769,18.729461516364147,-0.21720945391275492,-1.1464254287917286,29.18312799451618,29.601840810295663,0.4187128157794824,1.4347770254722625,0.8325554667802635,-6.632848657187765
Base best RF -> Weather best XGBoost,Very high EUI >= 150,131,28.69775625187473,29.658159992713053,0.9604037408383235,3.346616134059552,43.53892861001572,44.42453961930326,0.885611009287544,2.034067069541573,-8.40687345937036,-13.257445275692533
Base best RF -> Weather best XGBoost,Extreme EUI >= 200,70,35.58633629706604,37.53587929861886,1.9495430015528186,5.478347041062361,53.84901790835092,55.04017546035383,1.191157552002906,2.212032082052477,-15.06397037917435,-20.66566436767576
Base best RF -> Weather best XGBoost,Laboratory,16,53.67569886346294,50.42643880844116,-3.2492600550217787,-6.053503026177738,85.16755666340359,79.8516308777603,-5.315925785643287,-6.2417263027196075,6.50009888184735,5.404049015045189
Base best RF -> Weather best XGBoost,Supermarket/Grocery Store,42,35.77518405205907,34.534395999000196,-1.2407880530588713,-3.4682925774841875,52.11724375963603,50.0180099518219,-2.09923380781413,-4.027906420945371,-5.983154245853342,-11.645339675176672
Base best RF -> Weather best XGBoost,Hospital,20,15.550440653443811,14.459783782958988,-1.090656870484823,-7.013671797418071,19.284496921888632,18.150301567821128,-1.1341953540675043,-5.881384195094816,7.379480178085828,0.01642166137699519
Base best RF -> Weather best XGBoost,Hotel,76,10.230131448336452,12.088282856188323,1.8581514078518708,18.163514488897693,14.818483408490636,16.800274348470527,1.9817909399798914,13.373777095464254,4.250664675891059,-8.002133339329774
Base best RF -> Weather best XGBoost,Senior Living Community,52,17.282430149491656,13.620488218160775,-3.6619419313308814,-21.188813723853492,23.008246456188857,20.79167199188444,-2.2165744643044185,-9.63382615239761,11.347703439663064,4.334793861095733
Base best RF -> Weather best XGBoost,College/University,84,15.448635897149751,12.607221408117388,-2.8414144890323634,-18.392656205695157,20.731868182048963,19.334496773531843,-1.3973714085171203,-6.740209788363684,8.504801055371146,0.1174161048162432
Base XGBoost -> Weather XGBoost,All test records,2579,13.833598786021629,11.06467975736265,-2.7689190286589778,-20.015898042791832,20.188896372405928,17.874798189035726,-2.314098183370202,-11.462232212619105,8.385033792597056,3.080664448555055
Base XGBoost -> Weather XGBoost,High EUI >= 100,472,19.828209146402653,18.729461516364147,-1.0987476300385062,-5.541335689601838,30.164477470109677,29.601840810295663,-0.5626366598140145,-1.8652292597196072,1.3172541569855127,-6.632848657187765
Base XGBoost -> Weather XGBoost,Very high EUI >= 150,131,29.959141074610127,29.658159992713053,-0.3009810818970742,-1.0046385547152772,44.27132564467041,44.42453961930326,0.15321397463284825,0.3460794823777608,-4.943990611302041,-13.257445275692533
Base XGBoost -> Weather XGBoost,Extreme EUI >= 200,70,37.33181413922991,37.53587929861886,0.20406515938894643,0.5466253491670146,54.81800492436591,55.04017546035383,0.22217053598792091,0.40528752604998386,-11.734759870256681,-20.66566436767576
Base XGBoost -> Weather XGBoost,Laboratory,16,53.529221057891846,50.42643880844116,-3.1027822494506836,-5.7964270507411735,82.86793331656659,79.8516308777603,-3.0163024388062922,-3.639890990503665,11.37400350570681,5.404049015045189
Base XGBoost -> Weather XGBoost,Supermarket/Grocery Store,42,37.958530244373144,34.534395999000196,-3.4241342453729473,-9.020723993602282,51.83497662422372,50.0180099518219,-1.8169666724018185,-3.5052908108242624,-3.0595344180152324,-11.645339675176672
Base XGBoost -> Weather XGBoost,Hospital,20,15.237125854492188,14.459783782958988,-0.7773420715331998,-5.101631888825181,17.672692156241574,18.150301567821128,0.4776094115795537,2.7025277606664666,7.69922882080084,0.01642166137699519
Base XGBoost -> Weather XGBoost,Hotel,76,15.116450520565632,12.088282856188323,-3.0281676643773086,-20.032266571160644,19.999860428571154,16.800274348470527,-3.1995860801006266,-15.998042043982474,9.193323818006007,-8.002133339329774
Base XGBoost -> Weather XGBoost,Senior Living Community,52,16.56897258024949,13.620488218160775,-2.948484362088715,-17.795215411264312,22.966645900016594,20.79167199188444,-2.1749739081321557,-9.470141689825871,9.6638769369859,4.334793861095733
Base XGBoost -> Weather XGBoost,College/University,84,15.414551566895986,12.607221408117388,-2.8073301587785977,-18.212207773903522,21.369231794616553,19.334496773531843,-2.0347350210847104,-9.521797697928061,7.19718069803146,0.1174161048162432
