feature_set,model,group,n,actual_mean_eui,predicted_mean_eui,mae,rmse,bias_pred_minus_actual
base,Random Forest,All test records,2579,80.75664986428848,88.65314499835235,13.127668964934578,19.44369656714959,7.896495134063869
base,Random Forest,High EUI >= 100,472,145.08093220338984,145.9134876701701,18.9466709702769,29.18312799451618,0.8325554667802635
base,Random Forest,Very high EUI >= 150,131,221.3381679389313,212.93129447956093,28.69775625187473,43.53892861001572,-8.40687345937036
base,Random Forest,Extreme EUI >= 200,70,260.9157142857143,245.85174390653992,35.58633629706604,53.84901790835092,-15.06397037917435
base,Random Forest,Laboratory,16,269.9,276.4000988818473,53.67569886346294,85.16755666340359,6.50009888184735
base,Random Forest,Supermarket/Grocery Store,42,238.07619047619045,232.0930362303371,35.77518405205907,52.11724375963603,-5.983154245853342
base,Random Forest,Hospital,20,217.36499999999995,224.74448017808578,15.550440653443811,19.284496921888632,7.379480178085828
base,Random Forest,Hotel,76,104.67894736842106,108.92961204431212,10.230131448336452,14.818483408490636,4.250664675891059
base,Random Forest,Senior Living Community,52,100.84615384615384,112.1938572858169,17.282430149491656,23.008246456188857,11.347703439663064
base,Random Forest,College/University,84,90.90952380952382,99.41432486489497,15.448635897149751,20.731868182048963,8.504801055371146
base,XGBoost,All test records,2579,80.75664986428848,89.14168365688553,13.833598786021629,20.188896372405928,8.385033792597056
base,XGBoost,High EUI >= 100,472,145.08093220338984,146.39818636037535,19.828209146402653,30.164477470109677,1.3172541569855127
base,XGBoost,Very high EUI >= 150,131,221.3381679389313,216.39417732762925,29.959141074610127,44.27132564467041,-4.943990611302041
base,XGBoost,Extreme EUI >= 200,70,260.9157142857143,249.1809544154576,37.33181413922991,54.81800492436591,-11.734759870256681
base,XGBoost,Laboratory,16,269.9,281.2740035057068,53.529221057891846,82.86793331656659,11.37400350570681
base,XGBoost,Supermarket/Grocery Store,42,238.07619047619045,235.01665605817522,37.958530244373144,51.83497662422372,-3.0595344180152324
base,XGBoost,Hospital,20,217.36499999999995,225.0642288208008,15.237125854492188,17.672692156241574,7.69922882080084
base,XGBoost,Hotel,76,104.67894736842106,113.87227118642707,15.116450520565632,19.999860428571154,9.193323818006007
base,XGBoost,Senior Living Community,52,100.84615384615384,110.51003078313974,16.56897258024949,22.966645900016594,9.6638769369859
base,XGBoost,College/University,84,90.90952380952382,98.10670450755528,15.414551566895986,21.369231794616553,7.19718069803146
weather,Random Forest,All test records,2579,80.75664986428848,84.74767431123632,11.094610472291736,17.948461481576132,3.991024446947847
weather,Random Forest,High EUI >= 100,472,145.08093220338984,139.24566479926654,17.954965509711002,28.891030057223265,-5.8352674041233
weather,Random Forest,Very high EUI >= 150,131,221.3381679389313,208.95626063643638,28.478452821666107,43.96720289371032,-12.38190730249491
weather,Random Forest,Extreme EUI >= 200,70,260.9157142857143,241.9862758945194,36.093755702343984,54.79920525657695,-18.92943839119488
weather,Random Forest,Laboratory,16,269.9,272.6413454811385,54.228568316856695,85.50155498190165,2.7413454811385236
weather,Random Forest,Supermarket/Grocery Store,42,238.07619047619045,230.20923239161633,35.15141300351761,51.62771645992248,-7.866958084574122
weather,Random Forest,Hospital,20,217.36499999999995,221.3424157714785,15.062077855505624,18.25388248937478,3.9774157714785474
weather,Random Forest,Hotel,76,104.67894736842106,98.67597897910201,10.78391439046802,15.063344080702006,-6.002968389319051
weather,Random Forest,Senior Living Community,52,100.84615384615384,107.29088831523973,13.84493752768655,20.920294804656255,6.444734469085887
weather,Random Forest,College/University,84,90.90952380952382,93.19650092907361,12.016110703498638,17.96052689885083,2.286977119549789
weather,XGBoost,All test records,2579,80.75664986428848,83.83731431284353,11.06467975736265,17.874798189035726,3.080664448555055
weather,XGBoost,High EUI >= 100,472,145.08093220338984,138.44808354620207,18.729461516364147,29.601840810295663,-6.632848657187765
weather,XGBoost,Very high EUI >= 150,131,221.3381679389313,208.08072266323876,29.658159992713053,44.42453961930326,-13.257445275692533
weather,XGBoost,Extreme EUI >= 200,70,260.9157142857143,240.2500499180385,37.53587929861886,55.04017546035383,-20.66566436767576
weather,XGBoost,Laboratory,16,269.9,275.30404901504517,50.42643880844116,79.8516308777603,5.404049015045189
weather,XGBoost,Supermarket/Grocery Store,42,238.07619047619045,226.43085080101378,34.534395999000196,50.0180099518219,-11.645339675176672
weather,XGBoost,Hospital,20,217.36499999999995,217.38142166137695,14.459783782958988,18.150301567821128,0.01642166137699519
weather,XGBoost,Hotel,76,104.67894736842106,96.67681402909129,12.088282856188323,16.800274348470527,-8.002133339329774
weather,XGBoost,Senior Living Community,52,100.84615384615384,105.18094770724957,13.620488218160775,20.79167199188444,4.334793861095733
weather,XGBoost,College/University,84,90.90952380952382,91.02693991434006,12.607221408117388,19.334496773531843,0.1174161048162432
